Year,Region,Av mthly rent ($)
2011,Australia,1267
2011,New South Wales,1368
2011,Greater Sydney,1575
2011,Rest of NSW,991
2011,Victoria,1239
2011,Greater Melbourne,1364
2011,Rest of Vic.,856
2011,Queensland,1279
2011,Greater Brisbane,1388
2011,Rest of Qld,1184
2011,South Australia,974
2011,Greater Adelaide,1052
2011,Rest of SA,711
2011,Western Australia,1251
2011,Greater Perth,1374
2011,Rest of WA,893
2011,Tasmania,893
2011,Greater Hobart,1028
2011,Rest of Tas.,786
2011,Northern Territory,1118
2011,Greater Darwin,1530
2011,Rest of NT,617
2016,Australia,1524
2016,New South Wales,1736
2016,Greater Sydney,1996
2016,Rest of NSW,1212
2016,Victoria,1483
2016,Greater Melbourne,1613
2016,Rest of Vic.,1029
2016,Queensland,1452
2016,Greater Brisbane,1581
2016,Rest of Qld,1332
2016,South Australia,1146
2016,Greater Adelaide,1233
2016,Rest of SA,837
2016,Western Australia,1468
2016,Greater Perth,1600
2016,Rest of WA,1071
2016,Tasmania,1019
2016,Greater Hobart,1154
2016,Rest of Tas.,907
2016,Northern Territory,1390
2016,Greater Darwin,1835
2016,Rest of NT,745
