Year,Location,Births
2012,Greater Sydney,66474
2012,Rest of NSW,31583
2012,Greater Melbourne,59997
2012,Rest of Vic,17282
2012,Greater Brisbane,31361
2012,Rest of Qld,32355
2012,Greater Adelaide,15975
2012,Rest of SA,4452
2012,Greater Perth,25921
2012,Rest of WA,7614
2012,Greater Hobart,2740
2012,Rest of Tas,3397
2012,Greater Darwin,2206
2012,Rest of NT,1893
2013,Greater Sydney,67869
2013,Rest of NSW,32018
2013,Greater Melbourne,57301
2013,Rest of Vic,16556
2013,Greater Brisbane,31145
2013,Rest of Qld,32100
2013,Greater Adelaide,15738
2013,Rest of SA,4345
2013,Greater Perth,26696
2013,Rest of WA,7524
2013,Greater Hobart,2753
2013,Rest of Tas,3280
2013,Greater Darwin,2350
2013,Rest of NT,1698
2014,Greater Sydney,62084
2014,Rest of NSW,28152
2014,Greater Melbourne,57863
2014,Rest of Vic,16197
2014,Greater Brisbane,30927
2014,Rest of Qld,32007
2014,Greater Adelaide,16082
2014,Rest of SA,4297
2014,Greater Perth,27411
2014,Rest of WA,7664
2014,Greater Hobart,2742
2014,Rest of Tas,3164
2014,Greater Darwin,2329
2014,Rest of NT,1694
2015,Greater Sydney,67268
2015,Rest of NSW,31210
2015,Greater Melbourne,57518
2015,Rest of Vic,15874
2015,Greater Brisbane,30493
2015,Rest of Qld,31120
2015,Greater Adelaide,15511
2015,Rest of SA,4069
2015,Greater Perth,27143
2015,Rest of WA,7605
2015,Greater Hobart,2608
2015,Rest of Tas,3063
2015,Greater Darwin,2383
2015,Rest of NT,1621
2016,Greater Sydney,65390
2016,Rest of NSW,29346
2016,Greater Melbourne,65148
2016,Rest of Vic,17547
2016,Greater Brisbane,31271
2016,Rest of Qld,30453
2016,Greater Adelaide,15679
2016,Rest of SA,4086
2016,Greater Perth,27828
2016,Rest of WA,7253
2016,Greater Hobart,2768
2016,Rest of Tas,3181
2016,Greater Darwin,2325
2016,Rest of NT,1600
2017,Greater Sydney,65288
2017,Rest of NSW,30007
2017,Greater Melbourne,64543
2017,Rest of Vic,17287
2017,Greater Brisbane,30792
2017,Rest of Qld,30278
2017,Greater Adelaide,15174
2017,Rest of SA,3892
2017,Greater Perth,27251
2017,Rest of WA,6932
2017,Greater Hobart,2564
2017,Rest of Tas,3041
2017,Greater Darwin,2323
2017,Rest of NT,1558
2018,Greater Sydney,72514
2018,Rest of NSW,33756
2018,Greater Melbourne,61358
2018,Rest of Vic,16862
2018,Greater Brisbane,31578
2018,Rest of Qld,30244
2018,Greater Adelaide,14982
2018,Rest of SA,4123
2018,Greater Perth,26402
2018,Rest of WA,6557
2018,Greater Hobart,2535
2018,Rest of Tas,3005
2018,Greater Darwin,2188
2018,Rest of NT,1858
2019,Greater Sydney,66657
2019,Rest of NSW,31493
2019,Greater Melbourne,60764
2019,Rest of Vic,16155
2019,Greater Brisbane,31646
2019,Rest of Qld,30005
2019,Greater Adelaide,15585
2019,Rest of SA,3895
2019,Greater Perth,26654
2019,Rest of WA,6621
2019,Greater Hobart,2717
2019,Rest of Tas,3018
2019,Greater Darwin,2141
2019,Rest of NT,1511
