Year,State,Total Births
2012,NSW,98057
2012,VIC,77279
2012,QLD,63716
2012,SA,20427
2012,WA,33535
2012,TAS,6137
2012,NT,4099
2013,NSW,99887
2013,VIC,73857
2013,QLD,63245
2013,SA,20083
2013,WA,34220
2013,TAS,6033
2013,NT,4048
2014,NSW,90236
2014,VIC,74060
2014,QLD,62934
2014,SA,20379
2014,WA,35075
2014,TAS,5906
2014,NT,4023
2015,NSW,98478
2015,VIC,73392
2015,QLD,61613
2015,SA,19580
2015,WA,34748
2015,TAS,5671
2015,NT,4004
2016,NSW,94736
2016,VIC,82695
2016,QLD,61724
2016,SA,19765
2016,WA,35081
2016,TAS,5949
2016,NT,3925
2017,NSW,95295
2017,VIC,81830
2017,QLD,61070
2017,SA,19066
2017,WA,34183
2017,TAS,5605
2017,NT,3881
2018,NSW,106270
2018,VIC,78220
2018,QLD,61822
2018,SA,19105
2018,WA,32959
2018,TAS,5540
2018,NT,4046
2019,NSW,98150
2019,VIC,76919
2019,QLD,61651
2019,SA,19480
2019,WA,33275
2019,TAS,5735
2019,NT,3652
