Year,Location,Type,Price
2012,Greater Sydney,Urban,608130
2012,Rest of NSW,Rural,346500
2012,Greater Melbourne,Urban,487750
2012,Rest of Vic,Rural,291000
2012,Greater Brisbane,Urban,435000
2012,Rest of Qld,Rural,378750
2012,Greater Adelaide,Urban,387000
2012,Rest of SA,Rural,263750
2012,Greater Perth,Urban,498380
2012,Rest of WA,Rural,377500
2012,Greater Hobart,Urban,329200
2012,Rest of Tas,Rural,249580
2012,Greater Darwin,Urban,542380
2012,Rest of NT,Rural,400250
2013,Greater Sydney,Urban,670000
2013,Rest of NSW,Rural,358130
2013,Greater Melbourne,Urban,516750
2013,Rest of Vic,Rural,296630
2013,Greater Brisbane,Urban,449750
2013,Rest of Qld,Rural,389200
2013,Greater Adelaide,Urban,399250
2013,Rest of SA,Rural,255950
2013,Greater Perth,Urban,530250
2013,Rest of WA,Rural,380130
2013,Greater Hobart,Urban,336250
2013,Rest of Tas,Rural,251130
2013,Greater Darwin,Urban,554750
2013,Rest of NT,Rural,404230
2014,Greater Sydney,Urban,738500
2014,Rest of NSW,Rural,369650
2014,Greater Melbourne,Urban,522600
2014,Rest of Vic,Rural,288500
2014,Greater Brisbane,Urban,456250
2014,Rest of Qld,Rural,393750
2014,Greater Adelaide,Urban,411750
2014,Rest of SA,Rural,261250
2014,Greater Perth,Urban,529130
2014,Rest of WA,Rural,373750
2014,Greater Hobart,Urban,350380
2014,Rest of Tas,Rural,249830
2014,Greater Darwin,Urban,575880
2014,Rest of NT,Rural,422880
2015,Greater Sydney,Urban,863930
2015,Rest of NSW,Rural,401750
2015,Greater Melbourne,Urban,569580
2015,Rest of Vic,Rural,299900
2015,Greater Brisbane,Urban,473200
2015,Rest of Qld,Rural,413830
2015,Greater Adelaide,Urban,424750
2015,Rest of SA,Rural,264630
2015,Greater Perth,Urban,529630
2015,Rest of WA,Rural,356250
2015,Greater Hobart,Urban,355000
2015,Rest of Tas,Rural,257500
2015,Greater Darwin,Urban,580000
2015,Rest of NT,Rural,436880
2016,Greater Sydney,Urban,907630
2016,Rest of NSW,Rural,428880
2016,Greater Melbourne,Urban,614500
2016,Rest of Vic,Rural,311700
2016,Greater Brisbane,Urban,498380
2016,Rest of Qld,Rural,431000
2016,Greater Adelaide,Urban,442000
2016,Rest of SA,Rural,272500
2016,Greater Perth,Urban,518250
2016,Rest of WA,Rural,340830
2016,Greater Hobart,Urban,371750
2016,Rest of Tas,Rural,261630
2016,Greater Darwin,Urban,540000
2016,Rest of NT,Rural,426630
2017,Greater Sydney,Urban,989750
2017,Rest of NSW,Rural,461630
2017,Greater Melbourne,Urban,704880
2017,Rest of Vic,Rural,334500
2017,Greater Brisbane,Urban,522000
2017,Rest of Qld,Rural,446000
2017,Greater Adelaide,Urban,455580
2017,Rest of SA,Rural,276480
2017,Greater Perth,Urban,507750
2017,Rest of WA,Rural,335500
2017,Greater Hobart,Urban,401380
2017,Rest of Tas,Rural,274130
2017,Greater Darwin,Urban,510950
2017,Rest of NT,Rural,433530
2018,Greater Sydney,Urban,954525
2018,Rest of NSW,Rural,474950
2018,Greater Melbourne,Urban,734000
2018,Rest of Vic,Rural,358750
2018,Greater Brisbane,Urban,534500
2018,Rest of Qld,Rural,439250
2018,Greater Adelaide,Urban,469825
2018,Rest of SA,Rural,282750
2018,Greater Perth,Urban,498500
2018,Rest of WA,Rural,322375
2018,Greater Hobart,Urban,453025
2018,Rest of Tas,Rural,299500
2018,Greater Darwin,Urban,504000
2018,Rest of NT,Rural,442000
2019,Greater Sydney,Urban,912750
2019,Rest of NSW,Rural,477080
2019,Greater Melbourne,Urban,712500
2019,Rest of Vic,Rural,376250
2019,Greater Brisbane,Urban,540250
2019,Rest of Qld,Rural,440880
2019,Greater Adelaide,Urban,478250
2019,Rest of SA,Rural,284750
2019,Greater Perth,Urban,485750
2019,Rest of WA,Rural,324630
2019,Greater Hobart,Urban,490000
2019,Rest of Tas,Rural,320000
2019,Greater Darwin,Urban,478500
2019,Rest of NT,Rural,421630
