Region,2011,2016
Australia,10.4,11.5
  New South Wales,11.6,12.9
    Greater Sydney,12.6,14.2
    Rest of NSW,10,10.8
  Victoria,9.1,10.4
    Greater Melbourne,9.7,11
    Rest of Vic.,7.7,8.6
  Queensland,11.9,12.8
    Greater Brisbane,11.7,12.9
    Rest of Qld,12.1,12.7
  South Australia,9.3,10.2
    Greater Adelaide,9.9,10.9
    Rest of SA,7.2,7.9
  Western Australia,8.9,9.7
    Greater Perth,9.2,9.9
    Rest of WA,7.7,8.5
  Tasmania,9.5,10.2
    Greater Hobart,10.5,10.9
    Rest of Tas.,8.7,9.6
  Northern Territory,9,9.1
    Greater Darwin,10.5,10
    Rest of NT,6.2,7.2
