              Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33010DO001 Births, Australia 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) Wed 9 Dec 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1.1 Births, Summary, Statistical Areas Level 4–2012 to 2019 (year of registration)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012,,,,,,,,,,,,2013,,,,,,,,,,,,2014,,,,,,,,,,,,2015,,,,,,,,,,,,2016,,,,,,,,,,,,2017,,,,,,,,,,,,2018,,,,,,,,,,,,2019,,,,,,,,,,
,,,,Age-specific fertility rates,,,,,,,,,,,,Age-specific fertility rates,,,,,,,,,,,,Age-specific fertility rates,,,,,,,,,,,,Age-specific fertility rates,,,,,,,,,,,,Age-specific fertility rates,,,,,,,,,,,,Age-specific fertility rates,,,,,,,,,,,,Age-specific fertility rates,,,,,,,,,,,,Age-specific fertility rates,,,,,,,,
Place of Usual Residence,,Estimated resident population,Births,15–19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,Total fertility rate,Median age of mother,,Estimated resident population,Births,15–19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,Total fertility rate,Median age of mother,,Estimated resident population,Births,15–19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,Total fertility rate,Median age of mother,,Estimated resident population,Births,15–19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,Total fertility rate,Median age of mother,,Estimated resident population,Births,15–19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,Total fertility rate,Median age of mother,,Estimated resident population(a),Births,15–19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,Total fertility rate,Median age of mother,,Estimated resident population(a),Births,15–19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,Total fertility rate,Median age of mother,,Estimated resident population(a),Births,15–19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,Total fertility rate,Median age of mother
2016 ASGS code,"2016 GCCSA, SA4",persons,no.,rate,rate,rate,rate,rate,rate,rate,rate,years,,persons,no.,rate,rate,rate,rate,rate,rate,rate,rate,years,,persons,no.,rate,rate,rate,rate,rate,rate,rate,rate,years,,persons,no.,rate,rate,rate,rate,rate,rate,rate,rate,years,,persons,no.,rate,rate,rate,rate,rate,rate,rate,rate,years,,persons,no.,rate,rate,rate,rate,rate,rate,rate,rate,years,,persons,no.,rate,rate,rate,rate,rate,rate,rate,rate,years,,persons,no.,rate,rate,rate,rate,rate,rate,rate,rate,years
1,NEW SOUTH WALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Central Coast,"325,163","3,740",17.0,69.4,127.9,126.8,62.2,12.2,0.6,2.08,29.9,,"327,745","3,956",16.3,66.8,126.5,130.9,61.6,12.5,0.7,2.08,30.1,,"330,377","3,385",14.9,61.1,120.1,125.0,57.9,12.4,0.9,1.96,30.1,,"333,264","3,818",13.8,60.7,119.7,126.5,57.8,12.4,0.9,1.96,30.2,,"336,611","3,472",11.6,55.3,113.7,120.1,57.1,12.2,1.2,1.86,30.3,,"339,442","3,661",10.6,56.0,114.4,122.3,59.3,12.8,1.3,1.88,30.4,,"341,741","4,258",10.0,54.9,117.6,127.5,63.5,13.3,1.4,1.94,30.6,,"344,016","3,821",10.3,56.1,118.8,131.0,66.2,13.8,1.2,1.99,30.7
115,Sydney - Baulkham Hills and Hawkesbury,"221,249","2,250",2.9,22.0,93.3,152.2,72.3,13.9,0.8,1.79,32.6,,"224,036","2,330",2.6,20.2,89.7,149.4,73.0,14.3,0.9,1.75,32.6,,"227,298","2,062",2.2,18.5,82.0,144.2,71.6,14.3,1.1,1.67,32.7,,"231,186","2,445",2.4,17.8,85.9,141.4,74.2,14.9,1.0,1.69,32.7,,"235,609","2,261",2.3,16.8,85.8,138.7,69.6,14.1,1.3,1.64,32.6,,"241,029","2,273",2.0,17.3,88.3,140.8,69.4,14.5,1.1,1.67,32.6,,"245,445","2,570",1.9,16.8,85.0,144.3,69.0,14.1,1.2,1.66,32.7,,"251,477","2,427",1.5,16.9,82.0,141.7,72.6,14.5,0.9,1.65,32.8
116,Sydney - Blacktown,"320,288","5,504",22.9,75.8,143.0,134.9,65.6,13.7,0.6,2.28,29.7,,"327,424","5,611",21.8,70.4,138.8,133.8,67.7,15.2,0.7,2.24,30.0,,"334,517","5,122",19.0,66.4,130.9,129.1,66.2,14.4,0.8,2.13,30.2,,"342,178","5,643",17.4,62.9,129.2,130.0,65.6,14.4,0.9,2.10,30.4,,"350,795","5,547",14.9,60.8,123.5,130.0,64.0,13.3,0.8,2.04,30.6,,"360,420","5,518",14.4,60.0,121.6,130.0,65.1,12.9,1.0,2.03,30.7,,"368,877","6,468",13.4,60.6,121.0,133.4,67.8,14.0,1.1,2.06,30.9,,"377,280","5,985",13.1,58.5,119.8,134.3,68.7,14.3,1.1,2.05,31.0
117,Sydney - City and Inner South,"291,397","3,752",7.2,13.1,36.6,81.3,86.0,26.6,1.4,1.26,33.0,,"299,986","3,871",5.3,11.7,35.1,82.2,82.7,26.6,1.4,1.23,33.0,,"310,506","3,527",4.9,10.2,33.0,80.0,79.1,24.9,2.0,1.17,33.0,,"322,842","3,798",4.1,9.0,30.2,79.5,77.3,24.7,2.4,1.14,33.1,,"335,285","3,814",3.7,8.1,27.8,75.5,76.4,23.6,2.7,1.09,33.2,,"349,046","3,667",2.5,7.4,25.8,72.6,78.0,24.0,2.6,1.06,33.3,,"359,069","4,102",2.4,6.4,24.2,70.3,80.3,25.3,2.5,1.06,33.5,,"368,263","3,688",2.0,5.5,21.6,67.7,77.5,25.7,2.8,1.01,33.7
118,Sydney - Eastern Suburbs,"271,192","3,865",3.7,9.2,38.1,113.9,110.2,31.8,3.1,1.55,34.0,,"274,954","3,982",2.5,8.7,36.9,112.6,111.2,30.3,2.9,1.53,34.0,,"278,411","3,488",2.1,8.1,34.0,110.5,109.3,30.1,3.0,1.49,34.1,,"281,419","3,806",1.5,7.4,31.9,109.9,110.7,29.7,2.8,1.47,34.2,,"284,380","3,674",1.5,6.5,29.1,107.0,108.2,29.2,3.2,1.42,34.2,,"289,775","3,556",1.4,6.0,28.1,105.4,109.1,30.7,3.7,1.42,34.3,,"292,796","3,751",1.5,5.4,26.5,102.8,108.3,32.0,4.1,1.40,34.4,,"295,054","3,368",1.2,4.9,24.3,98.0,106.3,32.0,4.4,1.36,34.5
119,Sydney - Inner South West,"560,344","8,776",8.6,54.4,115.6,138.3,77.5,18.6,1.2,2.07,30.8,,"569,885","8,724",7.9,51.4,114.0,138.1,76.4,18.7,1.4,2.04,30.9,,"579,269","8,155",6.9,48.5,110.3,133.3,75.4,18.7,1.3,1.97,31.0,,"588,748","8,624",6.6,45.8,106.0,128.9,76.4,18.0,1.3,1.92,31.0,,"598,303","8,455",6.1,42.9,100.1,125.9,74.4,17.9,1.5,1.84,31.1,,"611,111","8,528",5.6,41.3,95.9,125.0,75.3,18.9,1.8,1.82,31.2,,"619,513","9,079",5.2,39.5,92.3,125.8,75.6,19.8,1.9,1.80,31.4,,"626,859","8,373",4.5,37.4,89.3,120.9,77.0,20.1,1.7,1.75,31.5
