            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,
"3301.0 Births, Australia, 2015",,,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) Tues 8 Nov 2016,,,,,,,,,,,,,,,,,
"Table 6.1 Births, Country of birth of mother–2015",,,,,,,,,,,,,,,,,
,,,Age-specific fertility rate,,,,,,,,,Father born in,,,Nuptiality,,
,Total births,Estimated resident female population,15–19 years,20–24 years,25–29 years,30–34 years,35–39 years,40–44 years,45–49 years,Total fertility rate,Total confinements,Australia,Same overseas country as mother,Other country,Nuptial,Exnuptial,Median age of mother
Country of birth of mother,no.,no.,rate,rate,rate,rate,rate,rate,rate,rate,no.,%,%,%,%,%,years
Total,"-305,377","5,689,294",13.1,49.0,95.7,118.9,69.2,14.9,1.0,1.81,"301,114",64.7,20.0,15.2,67.8,32.2,31.0
Total overseas-born,"104,900","1,780,669",8.4,41.8,92.2,118.0,73.9,17.4,1.3,1.76,"103,583",25.7,57.1,17.2,82.4,17.6,31.8
Oceania and Antarctica,"212,629","4,129,319",14.3,52.6,97.7,119.0,66.6,13.8,0.9,1.82,"209,488",83.0,2.5,14.4,59.5,40.5,30.5
Australia,"200,157","3,908,625",14.0,51.4,97.4,119.3,66.4,13.7,0.9,1.82,"197,214",85.8,,14.2,59.9,40.1,30.5
Fiji,"1,061","22,207",6.7,60.6,104.0,100.6,47.6,10.8,1.0,1.66,"1,052",18.8,61.3,20.0,84.5,15.5,31.8
New Zealand,"9,546","170,256",23.1,78.5,96.6,111.0,69.4,15.1,1.1,1.97,"9,379",43.4,40.4,16.2,48.2,51.8,30.4
Papua New Guinea,477,"11,035",13.0,61.9,98.8,121.0,74.3,15.2,1.0,1.93,472,58.8,21.2,20.0,61.8,38.2,32.8
Samoa,703,"8,432",29.5,108.7,204.0,157.2,101.5,38.9,2.0,3.21,694,9.7,63.2,27.1,66.6,33.4,31.2
Other,685,"8,764",40.8,124.4,160.6,148.9,92.0,26.2,1.4,2.97,677,20.2,45.9,33.9,56.8,43.2,30.6
North-West Europe,"13,053","277,690",4.1,23.9,60.5,132.6,92.0,19.0,1.2,1.67,"12,839",52.4,26.5,21.1,68.8,31.2,33.5
Austria,105,"1,955",0.0,28.7,45.2,131.4,83.1,20.7,0.8,1.55,104,68.0,1.9,28.2,71.8,28.2,33.6
Denmark,78,"2,166",3.1,17.5,97.5,125.2,80.2,22.8,0.0,1.73,77,64.9,1.3,29.9,72.7,27.3,32.7
Finland,100,"1,891",5.7,11.5,49.5,109.3,107.5,25.2,0.0,1.54,100,62.6,10.1,27.3,71.7,28.3,34.5
France,599,"11,999",0.7,5.8,31.6,121.8,91.1,23.9,0.9,1.38,587,41.9,31.7,26.4,62.1,37.9,33.1
Germany,"1,101","20,904",0.5,16.1,55.7,127.5,92.8,23.0,1.1,1.58,"1,082",58.2,13.6,28.3,68.8,31.2,33.9
Ireland,"1,412","22,161",4.8,25.3,40.6,114.6,108.7,23.0,1.5,1.59,"1,391",32.1,48.9,19.0,70.4,29.6,33.2
Netherlands,314,"7,535",5.2,14.7,51.9,138.3,87.3,17.0,1.2,1.58,311,49.0,28.6,22.4,66.9,33.1,34.2
Switzerland,132,"3,409",5.3,8.0,55.4,115.0,87.0,19.2,1.0,1.45,132,52.3,16.7,31.1,72.7,27.3,34.1
United Kingdom,"8,799","197,273",4.6,29.6,71.1,138.9,90.5,18.1,1.2,1.77,"8,648",54.8,25.6,19.6,69.0,31.0,33.5
Other,413,"8,397",0.8,8.3,56.0,132.7,87.4,22.7,0.3,1.54,407,64.3,10.6,25.1,66.3,33.7,33.4
Southern and Eastern Europe,"5,076","103,931",4.5,32.9,71.8,102.1,68.7,16.6,1.2,1.49,"4,997",42.1,30.5,27.4,80.5,19.5,32.9
Bosnia and Herzegovina,473,"8,946",3.3,53.4,103.7,103.3,54.1,9.3,1.2,1.64,463,31.9,41.7,26.4,84.3,15.7,30.6
Croatia,277,"7,389",2.5,20.7,87.6,92.6,47.9,11.4,1.2,1.32,272,39.4,27.9,32.7,78.4,21.6,31.3
Cyprus,40,"1,926",15.9,25.2,121.2,110.3,67.7,15.9,2.1,1.79,39,65.8,18.4,15.8,89.5,2.6,33.8
Czech Republic,207,"3,202",0.0,6.1,37.6,114.5,92.3,22.3,0.8,1.37,205,45.6,24.5,29.9,72.5,27.5,35.2
Estonia,69,"1,462",0.0,13.8,29.8,76.0,54.3,38.6,0.0,1.06,68,48.5,20.6,30.9,52.9,47.1,31.4
Former Yugoslav Republic of Macedonia (FYROM),349,"8,171",10.9,77.5,122.2,104.5,41.7,8.4,0.7,1.83,345,54.1,34.9,11.0,88.4,11.6,31.6
Greece,222,"5,718",5.1,22.8,71.2,108.8,69.1,19.7,1.3,1.49,218,55.1,24.8,20.1,84.2,15.8,33.2
Hungary,145,"2,886",12.8,19.5,59.6,94.8,76.8,12.1,2.1,1.39,143,38.0,35.2,26.8,78.2,21.8,35.3
Italy,333,"11,665",3.0,9.2,21.5,55.3,76.0,21.8,1.7,0.94,329,43.5,34.0,22.5,66.7,33.3,33.6
Latvia,43,682,0.0,0.0,66.7,97.6,76.9,20.6,0.0,1.31,41,50.0,17.5,32.5,70.0,30.0,32.4
Lithuania,37,767,0.0,12.5,38.7,79.4,70.9,7.9,0.0,1.05,37,31.4,20.0,48.6,74.3,25.7,32.9
Malta,53,"1,651",9.7,66.1,137.7,113.3,69.7,16.4,0.0,2.06,53,66.0,22.6,11.3,83.0,17.0,34.1
Poland,624,"10,453",7.6,26.9,67.8,119.6,72.7,17.5,1.3,1.57,613,51.1,23.1,25.9,76.9,23.1,34.6
Portugal,174,"3,403",14.5,31.1,99.0,126.0,60.5,12.5,1.2,1.72,170,56.7,20.1,23.2,76.8,23.2,33.0
Romania,264,"4,948",11.8,41.9,102.5,111.0,67.3,17.0,0.6,1.76,258,35.8,44.4,19.8,83.7,16.3,32.5
Russian Federation,611,"8,900",1.7,29.6,87.4,112.5,75.5,20.7,3.0,1.65,604,35.0,29.9,35.1,86.6,13.4,32.5
Spain,139,"3,811",0.0,15.8,21.5,74.0,90.6,26.5,1.0,1.15,139,44.9,26.5,28.7,72.1,27.9,36.0
Montenegro,25,354,15.9,127.0,133.3,109.2,73.4,28.7,0.0,2.44,24,58.3,8.3,29.2,87.5,12.5,30.5
Serbia,248,"6,658",3.9,48.1,78.8,101.4,57.2,12.4,0.2,1.51,243,36.9,27.8,35.3,84.2,15.8,31.9
Ukraine,281,"4,457",8.5,30.0,92.0,104.1,72.8,23.5,2.0,1.67,277,32.0,28.0,40.0,84.0,16.0,32.1
Other,462,"6,482",1.8,71.7,78.8,125.7,78.8,17.7,0.0,1.87,456,34.9,35.8,29.2,83.7,16.3,32.8
